work_id,keyword
W3038105864,Fuzzy Logic Systems
W3038105864,Fuzzy Rule-Based Systems
W3038105864,Interval Type-2 Fuzzy Logic
W3038105864,Intuitionistic Fuzzy Sets
W3038105864,Modus ponens
W3038105864,Neuro-Fuzzy Methods
W3038105864,Rule of inference
W3038105864,Similarity (geometry)
W3044723170,Benchmark (surveying)
W3044723170,Deep neural networks
W3044723170,Leverage (statistics)
W3044723170,Super-Resolution
W3044723170,Video Enhancement
W3044723170,Visual Servoing
W3113149630,Brain-inspired Computing
W3113149630,Commonsense knowledge
W3113149630,Interpretability
W3113149630,Neuromorphic Computing
W3113149630,Representation (politics)
W3113149630,Symbolic artificial intelligence
W3120390034,Audio Event Detection
W3120390034,Audio Signal Classification
W3120390034,Audio-Visual Speech Recognition
W3120390034,Deep Learning
W3120390034,Environmental Sound Recognition
W3132799678,Bioimage Analysis
W3132799678,Computer-Aided Detection
W3132799678,Histopathology Images
W3132799678,Medical Image Analysis
W3132799678,Whole Slide Imaging
W3135369575,Physarum
W3135369575,Physarum Polycephalum
W3140416988,Computability
W3140416988,Computation
W3140416988,Fault-tolerant Quantum Computation
W3140416988,Quantum Computation
W3140416988,Quantum Error Correction
W3147852756,Bottom-Up Attention
W3147852756,Deep Learning
W3147852756,Interpretability
W3147852756,Neural Network Architectures
W3147852756,Top-Down Attention
W3147852756,Visual Attention
W3156829097,Language Modeling
W3156829097,Natural Language Generation
W3156829097,Natural language understanding
W3156829097,Neural Machine Translation
W3156829097,Reinforcement Learning
W3156829097,Relevance (law)
W3156829097,Semantic Processing
W3161207330,Dialog Management
W3161207330,Language Modeling
W3161207330,Multitude
W3161207330,Open research
W3161207330,Semantic Processing
W3161207330,Spoken Dialogue Systems
W3161207330,Topic Modeling
W3164401570,Deep Learning
W3164401570,Equivariant map
W3180604690,Image Segmentation
W3180604690,Modalities
W3180604690,Modality (human–computer interaction)
W3183048323,Deep neural networks
W3183048323,Uncertainty Estimation
W3183048323,Uncertainty quantification
W3183420623,Benchmark (surveying)
W3183420623,Deep Learning
W3183420623,Model-Based Learning
W3183420623,Reinforcement Learning
W3183420623,Sample (material)
W3183420623,Surrogate Modeling
W3183903096,Computer Vision
W3183903096,Contrast Enhancement
W3183903096,Deep Learning
W3183903096,Neural Network Architectures
W3183903096,Regularization (linguistics)
W3183903096,Video Enhancement
W3191514888,Bioimage Analysis
W3191514888,Image Processing
W3200113267,Adversarial Examples
W3200113267,Detection
W3200113267,Dynamic Analysis
W3200113267,Evasion (ethics)
W3200113267,Outlier Detection
W3200113267,Security Analysis
W3201412947,Bayesian Networks
W3201412947,Causal structure
W3201412947,Graphical Models
W3201412947,Graphical model
W3201412947,Probabilistic Learning
W3201412947,Structure Learning
W3216755252,Global Optimization
W3216755252,Hyperparameter
W3216755252,Hyperparameter Optimization
W3216755252,Metamodeling
W3216755252,Multi-Objective Optimization
W3216755252,Optimization Applications
W3216755252,Particle Swarm Optimization
W4205250680,Component (thermodynamics)
W4205250680,Gujarati
W4205250680,Named-entity recognition
W4205250680,Neural Machine Translation
W4205334324,Blockchain
W4205378885,Agile Software Development
W4205378885,Function point
W4205378885,Scrum
W4205378885,Software Defect Prediction
W4205378885,Software Process Improvement
W4205378885,User story
W4205440051,Decision Analysis
W4205440051,Group Decision Making
W4205440051,Intuitionistic Fuzzy Sets
W4205440051,Operator (biology)
W4205440051,Probabilistic Rough Sets
W4205440051,Three-Way Decisions
W4205632368,Analytic Hierarchy Process
W4205632368,Decision Analysis
W4205632368,Degree (music)
W4205632368,Disadvantage
W4205632368,Feature Selection
W4205632368,GIS-based Decision Analysis
W4205632368,Matrix (chemical analysis)
W4205632368,Operator (biology)
W4205632368,Robustness (evolution)
W4205632368,Three-Way Decisions
W4205655330,Decision-making
