work_id,referenced_work_id
W3038105864,W1553483187
W3038105864,W1554474262
W3038105864,W1788095458
W3038105864,W1968443992
W3038105864,W1971165057
W3038105864,W1974182274
W3038105864,W1987898498
W3038105864,W1992942999
W3038105864,W1999956061
W3038105864,W2008553971
W3038105864,W2010448294
W3038105864,W2014816111
W3038105864,W2025021415
W3038105864,W2031601002
W3038105864,W2037443063
W3038105864,W2052215587
W3038105864,W2053860555
W3038105864,W2062706881
W3038105864,W2083293441
W3038105864,W2095351076
W3038105864,W2101706053
W3038105864,W2130915832
W3038105864,W2138579452
W3038105864,W2141085215
W3038105864,W2147235234
W3038105864,W2154864744
W3038105864,W2157041604
W3038105864,W2160234743
W3038105864,W2162450741
W3038105864,W2250912615
W3038105864,W2276356822
W3038105864,W2621795486
W3038105864,W2793389633
W3038105864,W2913824272
W3038105864,W2915061287
W3038105864,W312518228
W3038105864,W4232514889
W3038105864,W4234672050
W3038105864,W4245152641
W3038105864,W4252071954
W3038105864,W4252793191
W3038105864,W84733037
W3044723170,W1485009520
W3044723170,W1522734439
W3044723170,W1533861849
W3044723170,W1563770209
W3044723170,W1867429401
W3044723170,W1901129140
W3044723170,W1913633284
W3044723170,W1979606177
W3044723170,W1983364832
W3044723170,W2010981316
W3044723170,W2016598597
W3044723170,W2064675550
W3044723170,W2071498019
W3044723170,W2087380704
W3044723170,W2109586214
W3044723170,W2113989386
W3044723170,W2118877769
W3044723170,W2137290314
W3044723170,W2138237382
W3044723170,W2138714160
W3044723170,W2147863920
W3044723170,W2158919891
W3044723170,W2162486538
W3044723170,W2165222134
W3044723170,W2165939075
W3044723170,W2184360182
W3044723170,W2194775991
W3044723170,W2210480155
W3044723170,W2214802144
W3044723170,W2242218935
W3044723170,W2295865687
W3044723170,W2320725294
W3044723170,W2399812469
W3044723170,W2414711238
W3044723170,W2476548250
W3044723170,W2503339013
W3044723170,W2524043609
W3044723170,W2548527721
W3044723170,W2557227117
W3044723170,W2560474170
W3044723170,W2601564443
W3044723170,W2604219108
W3044723170,W2605986501
W3044723170,W2610638008
W3044723170,W2737735846
W3044723170,W2747898905
W3044723170,W2748530166
W3044723170,W2767850900
W3044723170,W2777277673
W3044723170,W2781335552
W3044723170,W2789261365
W3044723170,W2789370848
W3044723170,W2790238930
W3044723170,W2796427489
W3044723170,W2796901798
W3044723170,W2798664922
W3044723170,W2799262584
W3044723170,W2805076156
W3044723170,W2856775081
W3044723170,W2866634454
W3044723170,W2886623847
W3044723170,W2890330644
W3044723170,W2891441131
W3044723170,W2892273590
W3044723170,W2895361760
W3044723170,W2896652992
W3044723170,W2898832590
W3044723170,W2902037590
W3044723170,W2902917151
W3044723170,W2903823220
W3044723170,W2904156796
W3044723170,W2904835235
W3044723170,W2916743882
W3044723170,W2923834406
W3044723170,W2938555542
W3044723170,W2949718598
W3044723170,W2951291220
W3044723170,W2953823547
W3044723170,W2955123570
W3044723170,W2962785568
W3044723170,W2962835968
W3044723170,W2962927175
W3044723170,W2962949867
W3044723170,W2963031226
W3044723170,W2963091558
W3044723170,W2963312584
W3044723170,W2963372104
W3044723170,W2963446712
W3044723170,W2963470893
W3044723170,W2963704386
W3044723170,W2963729050
W3044723170,W2963782415
W3044723170,W2964037330
W3044723170,W2964040059
W3044723170,W2964101377
W3044723170,W2964121744
W3044723170,W2964156315
W3044723170,W2964791933
W3044723170,W2965669158
W3044723170,W2966926453
W3044723170,W2970835139
W3044723170,W2973673960
W3044723170,W2977189914
W3044723170,W2980401876
W3044723170,W2981895467
W3044723170,W2983118621
W3044723170,W2986833982
W3044723170,W2989430963
W3044723170,W2996880115
W3044723170,W2997027516
W3044723170,W3001584066
W3044723170,W3002342333
W3044723170,W3007471652
W3044723170,W3010167627
W3044723170,W3010644855
W3044723170,W3013529009
W3044723170,W3017479741
W3044723170,W3022107227
W3044723170,W3022669000
W3044723170,W3027564125
W3044723170,W3034365816
W3044723170,W3034475761
W3044723170,W3035236663
W3044723170,W3035505623
W3044723170,W3035605421
W3044723170,W3045209593
W3044723170,W3047354607
W3044723170,W3080081093
W3044723170,W3084368948
W3044723170,W3085056143
W3044723170,W3092399255
W3044723170,W3092525323
W3044723170,W3095671795
W3044723170,W3101569186
W3044723170,W3102015846
W3044723170,W3104962140
W3044723170,W3107184287
W3044723170,W3120182249
W3044723170,W3124561108
W3044723170,W3127197924
W3044723170,W3132291851
W3044723170,W3138525858
W3044723170,W3157035436
W3044723170,W3174256730
W3044723170,W3174865552
W3044723170,W3175197158
W3044723170,W3176148916
W3044723170,W3176977648
W3044723170,W3193508667
W3044723170,W3202903235
W3044723170,W4214768308
W3044723170,W54257720
W3044723170,W603908379
W3044723170,W65124300
W3044723170,W764651262
W3044723170,W935139217
W3113149630,W1498436455
W3113149630,W1518178543
W3113149630,W1526328753
W3113149630,W1531084120
W3113149630,W1538134818
W3113149630,W1545139845
W3113149630,W1663395468
W3113149630,W1670845525
W3113149630,W1769664091
W3113149630,W1968970479
W3113149630,W1970882212
W3113149630,W1977970897
W3113149630,W1986767090
W3113149630,W1995434016
W3113149630,W1996796871
W3113149630,W2004652576
W3113149630,W2019363670
W3113149630,W2029518327
W3113149630,W2036368940
W3113149630,W2065204741
W3113149630,W2076063813
W3113149630,W2096504051
W3113149630,W2099471712
W3113149630,W2099997872
W3113149630,W2104469207
W3113149630,W2124479173
W3113149630,W2127426251
W3113149630,W2131854866
W3113149630,W2136922672
W3113149630,W2145755360
W3113149630,W2146990855
