id,name,affiliation
A5042905745,A. A. Zaidan,"Faculty of Engineering & IT, British, University in Dubia, Dubai, United Arab Emirates"
A5100326993,A. B. M. Shawkat Ali,"School of Engineering and Technology, Central Queensland University, Melbourne, Australia"
A5069290393,A. H. Alamoodi,"Department of Computing, Faculty of Arts, Computing and Creative Industry (FSKIK), Universiti Pendidikan Sultan Idris, Tanjung Malim, Malaysia"
A5069290393,A. H. Alamoodi,"Faculty of Computing and Meta-Technology (FKMT), Universiti Pendidikan Sultan Idris (UPSI), Tanjong Malim, Perak, Malaysia"
A5043953788,A. Murari,"Consorzio RFX (CNR, ENEA, INFN, Università Di Padova, Acciaierie Venete SpA), Corso Stati Uniti 4, 35127, Padua, Italy"
A5043953788,A. Murari,"Consorzio RFX (CNR, ENEA, INFN, Università di Padova, Acciaierie Venete SpA), Corso Stati Uniti 4, 35127, Padua, Italy"
A5012505948,A. S. Albahri,"Iraqi Commission for Computers and Informatics (ICCI), Baghdad, Iraq"
A5012505948,A. S. Albahri,"Informatics Institute for Postgraduate Studies (IIPS), Iraqi Commission for Computers and Informatics (ICCI), Baghdad, Iraq"
A5057063941,A. S. Kirichenko,"WithSecure, Helsinki, Finland"
A5048111219,A. S. Ranadive,"Department of Pure and Applied Mathematics, Guru Ghasidas Vishwavidyalaya, Bilaspur, Chhattisgarh, 495009, India"
A5048111219,A. S. Ranadive,"Department of Pure and Applied Mathematics, Guru Ghasidas University, Bilaspur, Chhattisgarh, India"
A5110216447,A.R. Pandey,"School of Computer Science and Engineering, Vellore Institute of Technology, Chennai Campus, Kelambakkam Road, Chennai, Tamil Nadu, 600127, India"
A5069004483,Abbas Ahmadi,"Department of Industrial Engineering & Management Systems, Amirkabir University of Technology, Tehran, Iran"
A5020658652,Abbas Amini,"Department of Mechanical Engineering, College of Engineering, Australian University-Kuwait, Mishref, Safat, 13015, Kuwait"
A5020658652,Abbas Amini,"College of Engineering & Energy, Abdullah Al Salem University (AASU), Khaldiya, Kuwait"
A5031909680,Abbas Koochari,"Department of Computer Engineering, Science and Research Branch, Islamic Azad University, Tehran, Iran"
A5042805664,Abbes Amira,"Department of Computer Science, University of Sharjah, Sharjah, UAE"
A5065388273,Abdelazim G. Hussien,
