work_id,work_title,work_source,work_authors,referenced_work_ids,referenced_titles,referenced_sources,referenced_authors
w3038105864,approximate reasoning with aggregation functions satisfying gmp rules,artificial intelligence review,"dechao li, qingxue zeng","w1553483187, w1554474262, w1788095458","a course in fuzzy systems and control, a fuzzy inference methodology based on the fuzzification of set inclusion, a review of the relationships between implication, negation and aggregation functions from the point of view of material implication","source not found, studies in fuzziness and soft computing, information sciences","lixin wang, chris cornelis, etienne e. kerre, ana pradera, gleb beliakov, humberto bustince, bernard de baets"
w3044723170,video super-resolution based on deep learning: a comprehensive survey,artificial intelligence review,"hongying liu, zhubo ruan, peng zhao, chao dong, fanhua shang, yuanyuan liu, linlin yang, radu timofte","w1485009520, w1522734439, w1533861849","convolutional lstm network: a machine learning approach for precipitation nowcasting, learning spatiotemporal features with 3d convolutional networks, understanding the difficulty of training deep feedforward neural networks","arxiv (cornell university), source not found, international conference on artificial intelligence and statistics","xingjian shi, zhourong chen, hao wang, dit‐yan yeung, wai kin wong, wang‐chun woo, du tran, lubomir bourdev, rob fergus, lorenzo torresani, manohar paluri, xavier glorot, yoshua bengio"
w3113149630,neurosymbolic ai: the 3rd wave,artificial intelligence review,"artur s. d’avila garcez, luís c. lamb","w1498436455, w1518178543, w1526328753","learning representations by back-propagating errors, chcl — a connectionist inference system, reasoning about uncertainty","nature, lecture notes in computer science, the mit press ebooks","david e. rumelhart, geoffrey e. hinton, ronald j. williams, steffen hölldobler, franz kurfeß, joseph y. halpern"
w3120390034,a survey on deep reinforcement learning for audio-based applications,artificial intelligence review,"siddique latif, heriberto cuayáhuitl, farrukh pervez, fahad shamshad, hafiz shehbaz ali, erik cambria","w1480527676, w1494198834, w1498717522","recurrent reinforcement learning: a hybrid approach, librispeech: an asr corpus based on public domain audio books, exemplar-based speech enhancement for deep neural network based automatic speech recognition","arxiv (cornell university), source not found, source not found","xiujun li, lihong li, jianfeng gao, xiaodong he, jianshu chen, li deng, ji he, vassil panayotov, guoguo chen, daniel povey, sanjeev khudanpur, deepak baby, jort f. gemmeke, tuomas virtanen, hugo van hamme"
w3132799678,"a comprehensive review of computer-aided whole-slide image analysis: from datasets to feature extraction, segmentation, classification and detection approaches",artificial intelligence review,"xintong li, chen li, md mamunur rahaman, hongzan sun, xiaoqi li, jian wu, yu‐dong yao, marcin grzegorzek","w1147193425, w132035103, w1516417927","triaging diagnostically relevant regions from pathology whole slides of breast cancer: a texture based approach, practical considerations of image analysis and quantification of signal transduction ihc staining, large-scale computations on histology images reveal grade-differentiating parameters for breast cancer","ieee transactions on medical imaging, methods in molecular biology, bmc medical imaging","mohammad peikari, mehrdad j. gangeh, judit zubovits, g. clarke, anne l. martel, michael grunkin, jakob raundahl, niels t. foged, sokol petushi, fernando u. garcia, marian m. haber, c. katsinis, aydın tözeren"
w3135369575,a survey on physarum polycephalum intelligent foraging behaviour and bio-inspired applications,artificial intelligence review,"abubakr awad, wei pang, david lusseau, george m. coghill","w105027833, w126670081, w127678480","a physarum network evolution model based on ibtm, bioevaluation of world transport networks, organic memristive devices and neuromorphic circuits","lecture notes in computer science, world scientific ebooks, springer ebooks","yuxin liu, zili zhang, chao gao, yuheng wu, tao qian, andrew adamatzky, victor erokhin"
w3140416988,quantum case-based reasoning (qcbr),artificial intelligence review,"parfait atchade-adelomou, daniel casado fauli, elisabet golobardes ribé, x. vilasís-cardona","w1493658386, w1554132119, w1568345435","case-based sequential ordering of songs for playlist recommendation, filtering documents with subspaces, a quantum approximate optimization algorithm","lecture notes in computer science, lecture notes in computer science, arxiv (cornell university)","claudio baccigalupo, enric plaza, benjamin piwowarski, ingo frommholz, yashar moshfeghi, mounia lalmas, keith van rijsbergen, edward farhi, jeffrey goldstone, sam gutmann"
w3147852756,"attention, please! a survey of neural attention models in deep learning",artificial intelligence review,"alana de santana correia, esther luna colombini","w1484210532, w1497599070, w1508045687","multiple object recognition with visual attention, shifts in selective visual attention: towards the underlying neural circuitry, a survey on statistical relational learning","arxiv (cornell university), springer ebooks, lecture notes in computer science","jimmy ba, volodymyr mnih, koray kavukcuoglu, christof koch, shimon ullman, hassan khosravi, bahareh bina"
w3156829097,survey on reinforcement learning for language processing,artificial intelligence review,"víctor uc-cetina, nicolás navarro-guerrero, anabel martín-gonzález, cornelius weber, stefan wermter","w1580222235, w1592751638, w1644866298","learning to win by reading manuals in a monte-carlo framework, empirical evaluation of a reinforcement learning spoken dialogue system, an introduction to machine translation","journal of artificial intelligence research, national conference on artificial intelligence, source not found","s.r.k. branavan, david silver, regina barzilay, satinder singh, michael kearns, diane litman, marilyn walker, w. john hutchins, harold somers"
w3161207330,recent advances in deep learning based dialogue systems: a systematic survey,artificial intelligence review,"jinjie ni, tom young, vlad pandelea, fuzhao xue, erik cambria","w100948856, w10957333, w1485981043","annotation of discourse relations for conversational spoken dialogs, data-driven response generation in social media, serial order: a parallel distributed processing approach","source not found, empirical methods in natural language processing, advances in psychology","sara tonelli, giuseppe riccardi, rashmi prasad, aravind k. joshi, alan ritter, colin cherry, william b. dolan, michael i. jordan"
