id,name,country_code,type
I3129367976,A P J Abdul Kalam Technological University,IN,education
I686019,AGH University of Krakow,PL,education
I9927081,Aalto University,FI,education
I204337017,Aarhus University,DK,education
I53831458,Abasyn University,PK,education
I3131573596,Abbottabad University of Science and Technology,PK,education
I240042149,Abdelmalek Essaâdi University,MA,education
I181063083,Abdul Wali Khan University Mardan,PK,education
I16038530,Aberystwyth University,GB,education
I117222138,Abu Dhabi University,AE,education
I2802541053,Academy of Military Medical Sciences,CN,facility
I21067949,Adolfo Ibáñez University,CL,education
I4210130692,Affiliated Hospital of Youjiang Medical University for Nationalities,CN,healthcare
I52407163,Afyon Kocatepe University,TR,education
I115228651,"Agency for Science, Technology and Research",SG,government
I9916479,Air Force Medical University,CN,education
I182000528,Ajman University,AE,education
I197907453,Akdeniz University,TR,education
I203765153,Akita University,JP,education
I199702508,Al Jouf University,SA,education
I104941359,Al-Ahliyya Amman University,JO,education
I207527440,Al-Aqsa University,PS,education
I184834183,Al-Azhar University,EG,education
I33926330,Al-Balqa Applied University,JO,education
I180765649,Aliah University,IN,education
I1311688040,Amazon (United States),US,company
I190765188,Ambedkar University Delhi,IN,education
I181401687,American University,US,education
I75535952,American University of Kuwait,KW,education
I4210107262,Amhara Regional Agricultural Research Institute,ET,government
I158248296,Amirkabir University of Technology,IR,education
I145380033,Amman Arab University,JO,education
I81556334,Amrita Vishwa Vidyapeetham,IN,education
I4472751,Anhui Normal University,CN,education
I143868143,Anhui University,CN,education
I188935350,Anhui University of Finance and Economics,CN,education
I149218525,Ankara University,TR,education
I33585257,"Anna University, Chennai",IN,education
I46482218,Anqing Normal University,CN,education
I41147446,Anshan Normal University,CN,education
I35510649,Arak University,IR,education
I21370196,Aristotle University of Thessaloniki,GR,education
I55732556,Arizona State University,US,education
I151075929,Army Medical University,CN,education
I140106629,Artvin Coruh University,TR,education
I38538140,Asian Institute of Technology,TH,education
I146966710,Asian University for Women,BD,education
I83844774,Assam Medical College,IN,education
I91041137,Assiut University,EG,education
I9747756,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,IN,education
I39854758,Auckland University of Technology,NZ,education
I67042835,Australian College of Kuwait,KW,education
I118347636,Australian National University,AU,education
I196664497,Autonomous University of San Luis Potosí,MX,education
I23878562,Autonomous University of Yucatán,MX,education
I127670440,Bahauddin Zakariya University,PK,education
I98301712,Baidu (China),CN,company
I32481161,Batman University,TR,education
I82880672,Beihang University,CN,education
I4210100255,Beijing Academy of Artificial Intelligence,CN,other
I2800232565,Beijing Chao-Yang Hospital,CN,healthcare
I4210119648,Beijing Hospital,CN,healthcare
