work_id,keywords
W3038105864,"Modus ponens, Fuzzy Rule-Based Systems, Neuro-Fuzzy Methods, Rule of inference, Fuzzy Logic Systems, Intuitionistic Fuzzy Sets, Interval Type-2 Fuzzy Logic, Similarity (geometry)"
W3044723170,"Leverage (statistics), Benchmark (surveying), Super-Resolution, Visual Servoing, Video Enhancement, Deep neural networks"
W3113149630,"Interpretability, Neuromorphic Computing, Brain-inspired Computing, Commonsense knowledge, Representation (politics), Symbolic artificial intelligence"
W3120390034,"Audio Event Detection, Audio-Visual Speech Recognition, Environmental Sound Recognition, Deep Learning, Audio Signal Classification"
W3132799678,"Whole Slide Imaging, Medical Image Analysis, Computer-Aided Detection, Bioimage Analysis, Histopathology Images"
W3135369575,"Physarum, Physarum Polycephalum"
W3140416988,"Quantum Computation, Computability, Quantum Error Correction, Computation, Fault-tolerant Quantum Computation"
W3147852756,"Interpretability, Top-Down Attention, Bottom-Up Attention, Visual Attention, Deep Learning, Neural Network Architectures"
W3156829097,"Reinforcement Learning, Relevance (law), Natural Language Generation, Semantic Processing, Neural Machine Translation, Language Modeling, Natural language understanding"
W3161207330,"Spoken Dialogue Systems, Dialog Management, Open research, Language Modeling, Topic Modeling, Multitude, Semantic Processing"
W3164401570,"Equivariant map, Deep Learning"
W3180604690,"Modality (human–computer interaction), Modalities, Image Segmentation"
W3183048323,"Uncertainty Estimation, Uncertainty quantification, Deep neural networks"
W3183420623,"Benchmark (surveying), Reinforcement Learning, Surrogate Modeling, Model-Based Learning, Deep Learning, Sample (material)"
W3183903096,"Regularization (linguistics), Contrast Enhancement, Neural Network Architectures, Video Enhancement, Computer Vision, Deep Learning"
W3191514888,"Bioimage Analysis, Image Processing"
W3200113267,"Evasion (ethics), Adversarial Examples, Detection, Outlier Detection, Dynamic Analysis, Security Analysis"
W3201412947,"Graphical model, Structure Learning, Probabilistic Learning, Graphical Models, Bayesian Networks, Causal structure"
W3216755252,"Hyperparameter, Hyperparameter Optimization, Multi-Objective Optimization, Optimization Applications, Global Optimization, Particle Swarm Optimization, Metamodeling"
W4205250680,"Gujarati, Component (thermodynamics), Neural Machine Translation, Named-entity recognition"
W4205334324,Blockchain
W4205378885,"Agile Software Development, User story, Software Defect Prediction, Software Process Improvement, Function point, Scrum"
W4205440051,"Group Decision Making, Operator (biology), Intuitionistic Fuzzy Sets, Decision Analysis, Three-Way Decisions, Probabilistic Rough Sets"
W4205632368,"Robustness (evolution), Operator (biology), Matrix (chemical analysis), Decision Analysis, Analytic Hierarchy Process, GIS-based Decision Analysis, Feature Selection, Three-Way Decisions, Degree (music), Disadvantage"
W4205655330,"Group Decision Making, Fuzzy Sets, Intuitionistic Fuzzy Sets, Decision-making, Soft Set Theory, Soft computing"
W4205812147,Computational Complexity
W4205939747,"Optimization, Intelligent Control, Optimal Control, Adaptive Dynamic Programming, Emphasis (telecommunications)"
W4206016550,"Edge Computing, Mobile Edge Computing"
W4206041150,"Settling time, Overshoot (microwave communication), Reinforcement Learning, Cooperative Adaptive Cruise Control"
W4206075111,"Three-Way Decisions, Group Decision Making, MCDM Methods, Environmental Decision Making, Decision Analysis"
W4206094475,"Closed captioning, Visual Question Answering, Video Summarization, Image Captioning, Language Understanding"
W4206195463,"Categorical variable, Intuitionistic Fuzzy Sets, GIS-based Decision Analysis, Decision Analysis, Feature Selection, Fuzzy Sets"
W4206417793,"Visual Attention, Object Recognition, Face Perception, Eye Movements, Top-Down Attention"
W4206515154,"Benchmark (surveying), Optimization, Global Optimization, Optimization Applications, Information sharing, Differential evolution"
W4206588195,"Statistical Timing Analysis, Carry (investment)"
W4206681343,"Aspect-based Sentiment Analysis, Sentiment Analysis, Affect (linguistics), Confusion"
W4206722902,"Traffic Assignment, Traffic Flow, Cooperative Adaptive Cruise Control, Trustworthiness, Urban Traffic, Intelligent Transportation Systems, Autonomous system (mathematics), Vehicle routing problem"
W4206740177,"Local optimum, Multi-Objective Optimization, Optimization Applications, Global Optimization, Particle Swarm Optimization, Nature-Inspired Algorithms, Premature convergence"
W4206780588,"Activity Recognition, Ambient Intelligence"
W4206983514,"Coronavirus, Identification (biology), 2019-20 coronavirus outbreak, Artificial Intelligences"
W4210410512,"Overfitting, Transfer of learning, Feature (linguistics), Pandemic, Chest X-Ray"
W4210542188,"Group Decision Making, Pandemic"
W4210631880,"Interpretability, Complaint, Causality (physics), Imbalanced Data, Medical Image Analysis, General knowledge"
W4210763735,"Security Analysis, Open research"
W4210780574,"Deep Learning, Differential Privacy, Data Hiding, Visual learning"
W4210827551,"Sentiment Analysis, Aspect-based Sentiment Analysis, Emotion Recognition, Topic Modeling"
W4210909794,"Reinforcement Learning, Robot Learning"
W4211060568,"Retail Management Strategies, Feature Learning, Retail Environment, Page layout"
W4212811301,"Persistent Homology, Topological data analysis, Representation (politics), Statistical Topology, Feature learning, Topological Methods, Shape Analysis, Feature (linguistics), Feature vector, External Data Representation"
W4212976523,"Standard penetration test, Soil Liquefaction Potential, Cone penetration test, Slope Stability Analysis, Reliability Analysis, Soil liquefaction"
W4213347256,"Weight function, Group Decision Making, Operator (biology), Adaptability"
W4214551700,"Environmental Sound Recognition, Speech Enhancement, Audio Event Detection, Audio-Visual Speech Recognition, Audio Signal Classification, Benchmark (surveying), Margin (machine learning), Confusion"
W4214667230,"Smart Grid Applications, Microgrid Control, Demand response, Grid Synchronization, Smart Grids, Environmental pollution, Consumption (sociology)"
W4214944148,"Discriminative model, Dimensionality Reduction, Emotion Recognition, Feature Selection, Feature Extraction, Face Recognition, Representation (politics), Feature (linguistics), Expression (computer science), Feature learning"
W4220667522,Load Forecasting
W4220698980,"Interpretable Models, Visual Explanations, Visual Recognition, Vision science, Model Interpretability, Representation Learning, Machine vision"
W4220717373,"Imbalanced Data, Ensemble Learning"
W4220736817,"Visual Question Answering, Component (thermodynamics), Language Modeling, Topic Modeling, Language Understanding, Neural Machine Translation, Economic shortage, Paragraph, Generative model"
W4220756552,"Underwater Imaging, Feature Extraction, Image Analysis, Low-Light Enhancement"
W4220813863,"Textile, Fabric Defect Detection, Woven fabric, Fabric Testing, Texture Analysis, Textile Engineering, Surface Defect Detection, Strengths and weaknesses"
W4220842692,"Preference relation, Group Decision Making"
W4220864385,"Heuristics, Feature Selection, Robust Learning, Feature (linguistics), Implementation, Data set"
W4220891597,"Interpretability, Topic Modeling, Conceptual clustering, Feature Selection, Representation (politics), Ensemble learning"
W4220912476,"Representation (politics), Stochastic Petri Nets, Petri Nets"
W4220922919,"Representation (politics), Point Clouds, 3D Reconstruction, 3D Mapping, Point Set Surfaces"
W4220969749,"Vehicle Routing Problem, Fuzzy Goal Programming, Intuitionistic Fuzzy Sets, Fuzzy Sets, Intuitionistic Fuzzy, Constructive"
W4220986642,Heart Disease Prediction
W4221010276,"Intuitionistic Fuzzy Sets, Fuzzy Sets, Imputation (statistics), Air Quality Monitoring, Fine Particulate Air Pollution, Exposure Assessment"
W4221032146,"Benchmark (surveying), Particle Swarm Optimization, Nature-Inspired Algorithms, Constraint Handling, Local optimum, Heuristics, Multi-Objective Optimization, Premature convergence"
W4221122242,"Edge device, Edge Computing, Mobile Edge Computing, Implementation, Federated Learning, Fog Computing"
W4223453456,"Search-based software engineering, Global Optimization, Test suite, Optimization Applications, Constraint Handling, Engineering optimization, Parallel metaheuristic"
