work_id,referenced_work_id,referenced_url,referenced_title
W3038105864,"W1553483187, W1554474262, W1788095458","https://api.openalex.org/works/W1553483187, https://api.openalex.org/works/W1554474262, https://api.openalex.org/works/W1788095458","A Course in Fuzzy Systems and Control, A Fuzzy Inference Methodology Based on the Fuzzification of Set Inclusion, A review of the relationships between implication, negation and aggregation functions from the point of view of material implication"
W3044723170,"W1485009520, W1522734439, W1533861849","https://api.openalex.org/works/W1485009520, https://api.openalex.org/works/W1522734439, https://api.openalex.org/works/W1533861849","Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting, Learning Spatiotemporal Features with 3D Convolutional Networks, Understanding the difficulty of training deep feedforward neural networks"
W3113149630,"W1498436455, W1518178543, W1526328753","https://api.openalex.org/works/W1498436455, https://api.openalex.org/works/W1518178543, https://api.openalex.org/works/W1526328753","Learning representations by back-propagating errors, CHCL — A connectionist inference system, Reasoning about Uncertainty"
W3120390034,"W1480527676, W1494198834, W1498717522","https://api.openalex.org/works/W1480527676, https://api.openalex.org/works/W1494198834, https://api.openalex.org/works/W1498717522","Recurrent Reinforcement Learning: A Hybrid Approach, Librispeech: An ASR corpus based on public domain audio books, Exemplar-based speech enhancement for deep neural network based automatic speech recognition"
W3132799678,"W1147193425, W132035103, W1516417927","https://api.openalex.org/works/W1147193425, https://api.openalex.org/works/W132035103, https://api.openalex.org/works/W1516417927","Triaging Diagnostically Relevant Regions from Pathology Whole Slides of Breast Cancer: A Texture Based Approach, Practical Considerations of Image Analysis and Quantification of Signal Transduction IHC Staining, Large-scale computations on histology images reveal grade-differentiating parameters for breast cancer"
W3135369575,"W105027833, W126670081, W127678480","https://api.openalex.org/works/W105027833, https://api.openalex.org/works/W126670081, https://api.openalex.org/works/W127678480","A Physarum Network Evolution Model Based on IBTM, Bioevaluation of World Transport Networks, Organic Memristive Devices and Neuromorphic Circuits"
W3140416988,"W1493658386, W1554132119, W1568345435","https://api.openalex.org/works/W1493658386, https://api.openalex.org/works/W1554132119, https://api.openalex.org/works/W1568345435","Case-Based Sequential Ordering of Songs for Playlist Recommendation, Filtering Documents with Subspaces, A Quantum Approximate Optimization Algorithm"
W3147852756,"W1484210532, W1497599070, W1508045687","https://api.openalex.org/works/W1484210532, https://api.openalex.org/works/W1497599070, https://api.openalex.org/works/W1508045687","Multiple Object Recognition with Visual Attention, Shifts in Selective Visual Attention: Towards the Underlying Neural Circuitry, A Survey on Statistical Relational Learning"
W3156829097,"W1580222235, W1592751638, W1644866298","https://api.openalex.org/works/W1580222235, https://api.openalex.org/works/W1592751638, https://api.openalex.org/works/W1644866298","Learning to Win by Reading Manuals in a Monte-Carlo Framework, Empirical Evaluation of a Reinforcement Learning Spoken Dialogue System, An Introduction to Machine Translation"
W3161207330,"W100948856, W10957333, W1485981043","https://api.openalex.org/works/W100948856, https://api.openalex.org/works/W10957333, https://api.openalex.org/works/W1485981043","Annotation of Discourse Relations for Conversational Spoken Dialogs, Data-Driven Response Generation in Social Media, Serial Order: A Parallel Distributed Processing Approach"
W3164401570,"W1509036934, W1551865200, W1557324374","https://api.openalex.org/works/W1509036934, https://api.openalex.org/works/W1551865200, https://api.openalex.org/works/W1557324374","The Topology of Fibre Bundles., Principles of Harmonic Analysis, Introduction to Smooth Manifolds"
