work_id,topic,subfield,field,domain
W3038105864,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W3038105864,Rough Sets Theory and Applications,Computational Theory and Mathematics,Computer Science,Physical Sciences
W3038105864,Type-2 Fuzzy Logic Systems and Applications,Artificial Intelligence,Computer Science,Physical Sciences
W3044723170,Stereo Vision and Depth Estimation,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W3044723170,Single Image Super-Resolution Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W3044723170,Autofocusing in Microscopy and Photography,Media Technology,Engineering,Physical Sciences
W3113149630,Brain-Computer Interfaces in Neuroscience and Medicine,Cognitive Neuroscience,Neuroscience,Life Sciences
W3113149630,Neural Network Fundamentals and Applications,Artificial Intelligence,Computer Science,Physical Sciences
W3113149630,Memristive Devices for Neuromorphic Computing,Electrical and Electronic Engineering,Engineering,Physical Sciences
W3120390034,Interactive Evolutionary Music Systems and Instruments,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W3120390034,Audio Signal Classification and Analysis,Signal Processing,Computer Science,Physical Sciences
W3120390034,Speech Enhancement Techniques,Signal Processing,Computer Science,Physical Sciences
W3132799678,Deep Learning in Medical Image Analysis,Artificial Intelligence,Computer Science,Physical Sciences
W3132799678,Advanced Techniques in Bioimage Analysis and Microscopy,Biophysics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W3132799678,Automated Analysis of Blood Cell Images,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W3135369575,Memristive Devices for Neuromorphic Computing,Electrical and Electronic Engineering,Engineering,Physical Sciences
W3135369575,Plant Signaling and Communication Mechanisms,Plant Science,Agricultural and Biological Sciences,Life Sciences
W3135369575,Biologically Inspired Adaptive Network Design,Biomedical Engineering,Engineering,Physical Sciences
W3140416988,Quantum Computing and Simulation,Artificial Intelligence,Computer Science,Physical Sciences
W3140416988,Quantum Information and Computation,Artificial Intelligence,Computer Science,Physical Sciences
W3140416988,Computational Complexity and Algorithmic Information Theory,Computational Theory and Mathematics,Computer Science,Physical Sciences
W3147852756,Computational Modeling of Visual Saliency Detection,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W3147852756,Deep Learning in Computer Vision and Image Recognition,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W3147852756,Brain-Computer Interfaces in Neuroscience and Medicine,Cognitive Neuroscience,Neuroscience,Life Sciences
W3156829097,Statistical Machine Translation and Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W3156829097,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W3156829097,Dialogue Act Modeling for Spoken Language Systems,Artificial Intelligence,Computer Science,Physical Sciences
W3161207330,Dialogue Act Modeling for Spoken Language Systems,Artificial Intelligence,Computer Science,Physical Sciences
W3161207330,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W3161207330,Statistical Machine Translation and Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W3164401570,Isogeometric Analysis in Computational Engineering,Computational Mechanics,Engineering,Physical Sciences
W3164401570,Topological Data Analysis in Science and Engineering,Computational Theory and Mathematics,Computer Science,Physical Sciences
W3164401570,Automated Spine Segmentation and Identification,Biomedical Engineering,Engineering,Physical Sciences
W3180604690,Applications of Deep Learning in Medical Imaging,"Radiology, Nuclear Medicine and Imaging",Medicine,Health Sciences
W3180604690,Classification of Brain Tumor Type and Grade,Neurology,Neuroscience,Life Sciences
W3180604690,Deep Learning in Computer Vision and Image Recognition,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W3183048323,Process Fault Detection and Diagnosis in Industries,Control and Systems Engineering,Engineering,Physical Sciences
W3183048323,Adversarial Robustness in Deep Learning Models,Artificial Intelligence,Computer Science,Physical Sciences
W3183048323,Anomaly Detection in High-Dimensional Data,Artificial Intelligence,Computer Science,Physical Sciences
W3183420623,Reinforcement Learning Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W3183420623,Multiobjective Optimization in Evolutionary Algorithms,Computational Theory and Mathematics,Computer Science,Physical Sciences
W3183420623,Optimization of Multi-Armed Bandit Problems,Management Science and Operations Research,Decision Sciences,Social Sciences
