work_id,author_id,position
W3038105864,A5045991385,last
W3038105864,A5101474113,first
W3044723170,A5023845728,middle
W3044723170,A5052236177,last
W3044723170,A5061511561,middle
W3044723170,A5067858777,middle
W3044723170,A5100753229,middle
W3044723170,A5100757725,first
W3044723170,A5101645108,middle
W3044723170,A5102363952,middle
W3113149630,A5002143669,last
W3113149630,A5060005929,first
W3120390034,A5033921097,middle
W3120390034,A5036357777,middle
W3120390034,A5047197696,first
W3120390034,A5060458014,middle
W3120390034,A5066120242,middle
W3120390034,A5100752356,last
W3132799678,A5021827481,middle
W3132799678,A5024292688,middle
W3132799678,A5037990310,last
W3132799678,A5075100287,middle
W3132799678,A5100337412,first
W3132799678,A5100369916,middle
W3132799678,A5100634702,middle
W3132799678,A5101674458,middle
W3135369575,A5017444948,middle
W3135369575,A5038065289,first
W3135369575,A5081644845,middle
W3135369575,A5082375941,last
W3140416988,A5011889214,last
W3140416988,A5012450004,first
W3140416988,A5109493868,middle
W3140416988,A5110752821,middle
W3147852756,A5011531387,last
W3147852756,A5087256235,first
W3156829097,A5007082510,first
W3156829097,A5033486668,last
W3156829097,A5040711005,middle
W3156829097,A5074945731,middle
W3156829097,A5102025003,middle
W3161207330,A5007460835,middle
W3161207330,A5022280034,middle
W3161207330,A5038994448,middle
W3161207330,A5072407590,first
W3161207330,A5100752356,last
W3164401570,A5013054127,middle
W3164401570,A5014204943,middle
W3164401570,A5018302442,last
W3164401570,A5019660414,middle
W3164401570,A5055380138,middle
W3164401570,A5079115181,middle
W3164401570,A5086301780,first
W3180604690,A5004401828,last
W3180604690,A5030289462,first
W3183048323,A5014313436,middle
W3183048323,A5015245862,middle
W3183048323,A5035787368,middle
W3183048323,A5043510754,middle
W3183048323,A5050478468,middle
W3183048323,A5050670407,middle
W3183048323,A5068384981,last
W3183048323,A5077548608,middle
W3183048323,A5078308635,middle
W3183048323,A5085894202,middle
W3183048323,A5089829631,first
W3183048323,A5100668167,middle
W3183048323,A5101708763,middle
W3183048323,A5101883045,middle
W3183420623,A5054569164,middle
W3183420623,A5062774048,last
W3183420623,A5085542421,first
W3183903096,A5057857099,first
W3183903096,A5073814691,last
W3191514888,A5037990310,last
W3191514888,A5064208724,first
W3191514888,A5076172277,middle
W3191514888,A5100369916,middle
W3191514888,A5100462858,middle
W3200113267,A5031377954,last
W3200113267,A5055759473,middle
W3200113267,A5056110552,first
W3200113267,A5084205574,middle
W3201412947,A5015328755,last
W3201412947,A5042011218,middle
W3201412947,A5084184776,first
W3201412947,A5100355692,middle
W3201412947,A5101477157,middle
W3216755252,A5001699131,middle
W3216755252,A5026504154,last
W3216755252,A5071787646,first
W4205250680,A5027064648,last
W4205250680,A5055351743,first
W4205334324,A5040477292,last
W4205334324,A5075257227,first
W4205378885,A5074535293,last
W4205378885,A5082639293,first
W4205440051,A5040477292,first
W4205632368,A5086068094,first
W4205632368,A5100437308,last
W4205655330,A5001270995,first
W4205655330,A5024802129,middle
W4205655330,A5054957490,last
W4205655330,A5060070395,middle
W4205812147,A5019387999,first
W4205812147,A5021111688,last
W4205939747,A5024549341,first
W4205939747,A5060494556,last
W4205939747,A5085117395,middle
W4206016550,A5017406967,first
W4206016550,A5029287956,middle
W4206016550,A5109425857,last
W4206041150,A5010320097,first
W4206075111,A5016800697,first
W4206075111,A5039205000,middle
W4206075111,A5048111219,last
W4206075111,A5088135807,middle
W4206094475,A5009309241,middle
W4206094475,A5055991257,middle
W4206094475,A5058133910,middle
W4206094475,A5063250732,first
W4206094475,A5070606998,last
W4206094475,A5070629635,middle
W4206195463,A5001618198,middle
W4206195463,A5048672189,last
W4206195463,A5050430249,middle
W4206195463,A5074332958,middle
W4206195463,A5100460994,middle
W4206195463,A5101649139,first
W4206417793,A5015760773,first
W4206417793,A5051363614,middle
W4206417793,A5061208595,last
W4206417793,A5100396348,middle
W4206417793,A5100748115,middle
W4206417793,A5101718582,middle
W4206515154,A5065969365,first
W4206515154,A5111041201,last
W4206588195,A5003627091,last
W4206588195,A5080000811,first
W4206681343,A5009089390,middle
W4206681343,A5027091353,last
W4206681343,A5069836459,first
W4206722902,A5020525219,first
W4206740177,A5014647743,last
W4206740177,A5075411702,middle
W4206740177,A5082370308,first
W4206740177,A5112449340,middle
W4206780588,A5007040136,middle
W4206780588,A5032506165,middle
W4206780588,A5042514819,middle
W4206780588,A5071959897,last
W4206780588,A5079889916,middle
W4206780588,A5100605662,first
W4206983514,A5002344438,middle
W4206983514,A5025326752,middle
W4206983514,A5034239339,middle
W4206983514,A5070406038,last
W4206983514,A5101623663,first
W4206983514,A5102779840,middle
W4210410512,A5066303253,first
W4210410512,A5079325992,last
W4210410512,A5082912139,middle
W4210542188,A5012505948,middle
W4210542188,A5042905745,middle
W4210542188,A5048575411,first
W4210542188,A5056863498,middle
W4210542188,A5069290393,middle
W4210542188,A5076814657,middle
W4210542188,A5082151433,last
W4210542188,A5083259460,middle
W4210542188,A5101699433,middle
W4210542188,A5112735320,middle
W4210542188,A5113964067,middle
W4210631880,A5064572247,middle
W4210631880,A5069260620,middle
W4210631880,A5100393417,first
W4210631880,A5100441116,middle
W4210631880,A5100604784,middle
W4210631880,A5100615908,middle
W4210631880,A5100629869,last
W4210631880,A5100679575,middle
W4210631880,A5102767749,middle
W4210763735,A5040007583,middle
W4210763735,A5040305670,middle
W4210763735,A5047996342,middle
W4210763735,A5048394282,middle
W4210763735,A5060846150,last
W4210763735,A5086533220,first
W4210780574,A5024534526,middle
W4210780574,A5036801346,middle
W4210780574,A5051406984,last
W4210780574,A5100461646,middle
W4210780574,A5101762278,first
W4210827551,A5006316699,first
W4210827551,A5101958981,last
W4210827551,A5111830527,middle
W4210909794,A5007842569,middle
W4210909794,A5056670558,last
W4210909794,A5060460337,first
W4211060568,A5032464773,middle
W4211060568,A5034095159,last
W4211060568,A5038839161,first
W4211060568,A5075801361,middle
W4211060568,A5101949313,middle
W4212811301,A5071610625,middle
W4212811301,A5084610901,last
W4212811301,A5089225379,first
W4212976523,A5001490863,middle
W4212976523,A5019842095,middle
W4212976523,A5077665557,last
W4212976523,A5100649005,first
W4212976523,A5101542273,middle
W4213347256,A5040705853,middle
W4213347256,A5086232209,first
W4213347256,A5101821254,last
W4214551700,A5027364983,first
W4214551700,A5113471027,last
W4214667230,A5006907239,first
W4214944148,A5003891871,middle
W4214944148,A5007660110,middle
W4214944148,A5049529533,first
W4214944148,A5050659799,last
W4220667522,A5048976040,last
W4220667522,A5053785006,middle
W4220667522,A5070182225,first
W4220698980,A5042895349,middle
W4220698980,A5088111638,first
W4220698980,A5100306850,middle
W4220698980,A5113600509,last
W4220717373,A5017034254,first
W4220717373,A5018458084,middle
W4220717373,A5040369618,middle
W4220717373,A5058183984,middle
W4220717373,A5065859612,middle
W4220717373,A5082299802,last
W4220717373,A5090921348,middle
W4220736817,A5061277148,last
W4220736817,A5100671418,first
W4220756552,A5068555962,last
W4220756552,A5079264025,middle
W4220756552,A5079704928,first
W4220813863,A5000810293,middle
W4220813863,A5016108763,middle
W4220813863,A5066518779,first
W4220813863,A5101685102,middle
W4220813863,A5110971630,last
W4220842692,A5043909146,middle
W4220842692,A5052251666,middle
W4220842692,A5076657750,last
W4220842692,A5100373218,middle
W4220842692,A5100462096,first
W4220864385,A5022963336,middle
W4220864385,A5044893740,first
W4220864385,A5045954225,middle
W4220864385,A5058725046,middle
W4220864385,A5077241213,last
W4220891597,A5012855986,last
W4220891597,A5056684326,first
W4220912476,A5002238970,middle
W4220912476,A5002942261,first
W4220912476,A5080348548,middle
W4220912476,A5086100690,last
W4220922919,A5016645126,first
W4220922919,A5031931063,middle
W4220922919,A5100634348,last
W4220922919,A5103070400,middle
W4220969749,A5027080458,middle
W4220969749,A5049759330,middle
W4220969749,A5054194585,middle
W4220969749,A5059970577,middle
W4220969749,A5081617835,first
W4220969749,A5084554925,last
W4220986642,A5010175452,middle
W4220986642,A5101652892,middle
W4220986642,A5101670958,first
W4220986642,A5103253232,last
W4221010276,A5066969401,last
W4221010276,A5083175579,first
W4221010276,A5090399155,middle
W4221032146,A5012742956,middle
W4221032146,A5020127599,last
W4221032146,A5036820846,middle
W4221032146,A5077953024,first
