work_id,year,citation_count
W3038105864,2023,5
W3038105864,2024,1
W3044723170,2021,15
W3044723170,2022,18
W3044723170,2023,51
W3044723170,2024,43
W3113149630,2019,1
W3113149630,2020,1
W3113149630,2021,17
W3113149630,2022,11
W3113149630,2023,30
W3113149630,2024,46
W3120390034,2021,13
W3120390034,2022,13
W3120390034,2023,14
W3120390034,2024,14
W3132799678,2022,23
W3132799678,2023,51
W3132799678,2024,57
W3135369575,2023,5
W3135369575,2024,3
W3140416988,2021,2
W3140416988,2022,3
W3140416988,2023,1
W3140416988,2024,1
W3147852756,2021,9
W3147852756,2022,27
W3147852756,2023,55
W3147852756,2024,32
W3156829097,2021,4
W3156829097,2022,10
W3156829097,2023,30
W3156829097,2024,36
W3161207330,2021,4
W3161207330,2022,19
W3161207330,2023,56
W3161207330,2024,48
W3164401570,2021,1
W3164401570,2022,3
W3164401570,2023,5
W3164401570,2024,10
W3180604690,2020,1
W3180604690,2021,5
W3180604690,2022,27
W3180604690,2023,45
W3180604690,2024,34
W3183048323,2021,11
W3183048323,2022,18
W3183048323,2023,79
W3183048323,2024,189
W3183420623,2023,10
W3183420623,2024,7
W3183903096,2022,7
W3183903096,2023,16
W3183903096,2024,13
W3191514888,2021,1
W3191514888,2022,8
W3191514888,2023,47
W3191514888,2024,53
W3200113267,2021,1
W3200113267,2022,16
W3200113267,2023,31
W3200113267,2024,35
W3201412947,2023,30
W3201412947,2024,59
W3216755252,2022,1
W3216755252,2023,23
W3216755252,2024,38
W4205250680,2022,1
W4205250680,2023,2
W4205250680,2024,4
W4205334324,2022,2
W4205334324,2023,17
W4205334324,2024,5
W4205378885,2022,3
W4205378885,2023,13
W4205378885,2024,8
W4205440051,2022,4
W4205440051,2023,4
W4205440051,2024,2
W4205632368,2022,2
W4205632368,2023,3
W4205632368,2024,2
W4205655330,2022,16
W4205655330,2023,19
W4205655330,2024,14
W4205812147,2022,4
W4205812147,2023,8
W4205812147,2024,10
W4205939747,2019,1
W4205939747,2022,52
W4205939747,2023,68
W4205939747,2024,22
W4206016550,2022,3
W4206016550,2023,10
W4206016550,2024,15
W4206041150,2022,34
W4206041150,2023,25
W4206041150,2024,7
W4206075111,2022,6
W4206075111,2023,6
W4206075111,2024,8
W4206094475,2022,2
W4206094475,2023,5
W4206094475,2024,3
W4206195463,2022,2
W4206195463,2023,6
W4206195463,2024,2
W4206417793,2022,5
W4206417793,2023,4
W4206417793,2024,10
W4206515154,2023,9
W4206515154,2024,2
W4206588195,2022,1
W4206588195,2023,8
W4206588195,2024,7
W4206681343,2022,14
W4206681343,2023,20
W4206681343,2024,12
W4206722902,2023,1
W4206722902,2024,2
W4206740177,2022,11
W4206740177,2023,28
W4206740177,2024,19
W4206780588,2012,1
W4206780588,2013,1
W4206780588,2014,3
W4206780588,2016,2
W4206780588,2017,2
W4206780588,2020,1
W4206780588,2021,1
W4206780588,2022,25
W4206780588,2023,86
W4206780588,2024,58
W4206983514,2022,11
W4206983514,2023,16
W4206983514,2024,8
W4210410512,2022,7
W4210410512,2023,8
W4210410512,2024,10
W4210542188,2022,20
W4210542188,2023,21
W4210542188,2024,19
W4210631880,2022,1
W4210631880,2023,2
W4210631880,2024,2
W4210763735,2020,1
W4210763735,2022,21
W4210763735,2023,31
W4210763735,2024,28
W4210780574,2022,6
W4210780574,2023,7
W4210780574,2024,11
W4210827551,2022,44
W4210827551,2023,226
W4210827551,2024,235
W4210909794,2022,6
W4210909794,2023,13
W4210909794,2024,22
W4211060568,2022,3
W4211060568,2023,2
W4211060568,2024,6
W4212811301,2022,2
W4212811301,2023,17
W4212811301,2024,20
W4212976523,2022,14
W4212976523,2023,34
W4212976523,2024,33
W4213347256,2022,2
W4213347256,2023,1
W4213347256,2024,3
W4214551700,2022,1
W4214551700,2023,10
W4214551700,2024,2
W4214667230,2022,9
W4214667230,2023,11
W4214667230,2024,15
W4214944148,2022,1
W4214944148,2023,3
W4214944148,2024,1
W4220667522,2022,1
W4220667522,2023,1
W4220698980,2022,3
W4220698980,2023,4
W4220698980,2024,4
W4220717373,2022,6
W4220717373,2023,25
W4220717373,2024,25
W4220736817,2022,1
W4220736817,2023,9
W4220736817,2024,6
W4220756552,2022,3
W4220756552,2023,12
W4220756552,2024,12
W4220813863,2022,2
W4220813863,2023,5
W4220813863,2024,4
W4220842692,2022,5
W4220842692,2023,4
W4220842692,2024,4
W4220864385,2023,3
W4220891597,2023,2
W4220912476,2022,2
W4220912476,2023,9
W4220912476,2024,8
W4220922919,2022,1
W4220922919,2024,2
W4220969749,2022,4
W4220969749,2023,5
W4220969749,2024,3
W4220986642,2021,1
W4220986642,2022,11
W4220986642,2023,25
W4220986642,2024,26
W4221010276,2022,2
W4221010276,2024,1
W4221032146,2022,1
W4221032146,2023,19
W4221032146,2024,11
W4221122242,2022,3
W4221122242,2023,11
W4221122242,2024,17
W4223453456,2023,1
W4223453456,2024,1
W4223903624,2022,2
W4223903624,2023,8
W4223903624,2024,3
W4224013576,2022,5
W4224013576,2023,32
W4224013576,2024,34
W4224035554,2022,5
W4224035554,2023,45
W4224035554,2024,45
W4224037847,2022,2
W4224037847,2023,7
W4224037847,2024,16
W4224082478,2022,1
W4224082478,2023,5
W4224082478,2024,5
W4224213141,2022,1
W4224213141,2023,7
W4224213141,2024,14
W4224243673,2023,7
W4224243673,2024,3
W4224248396,2022,6
W4224248396,2023,30
W4224248396,2024,35
W4224437581,2022,5
W4224437581,2023,20
W4224437581,2024,19
W4225277427,2022,1
W4225277427,2023,8
W4225277427,2024,8
W4225294432,2022,1
W4225294432,2023,7
W4225294432,2024,4
W4225821329,2022,3
W4225821329,2023,2
W4225821329,2024,2
W4226062099,2023,8
W4226062099,2024,1
W4226083961,2022,4
W4226083961,2023,14
W4226083961,2024,25
W4226181943,2023,6
W4226181943,2024,5
W4226322152,2022,1
W4226322152,2023,5
W4226322152,2024,7
W4226424013,2023,2
W4226424013,2024,5
W4226424035,2022,2
W4226424035,2023,16
W4226424035,2024,6
W4226459955,2022,6
W4226459955,2023,8
W4226459955,2024,7
W4229012814,2023,5
W4229012814,2024,11
W4229442263,2022,3
W4229442263,2023,11
W4229442263,2024,7
W4280491585,2023,1
W4280491585,2024,1
W4280508892,2022,2
W4280508892,2023,5
W4280508892,2024,5
W4280525177,2022,6
W4280525177,2023,26
W4280525177,2024,22
W4280541407,2022,1
W4280541407,2023,6
W4280541407,2024,11
W4280582114,2022,1
W4280582114,2023,7
W4280582114,2024,2
W4280590401,2022,1
W4280590401,2023,4
W4280590401,2024,6
W4280649903,2022,5
W4280649903,2023,23
W4280649903,2024,28
W4281262808,2023,9
W4281262808,2024,18
W4281286562,2023,4
W4281286562,2024,1
W4281399117,2022,1
W4281399117,2023,5
W4281399117,2024,17
W4281663336,2022,4
W4281663336,2023,27
W4281663336,2024,25
W4281703385,2023,16
W4281703385,2024,7
W4281912025,2022,2
W4281912025,2023,14
W4281912025,2024,13
W4281930622,2022,2
W4281930622,2023,10
W4281930622,2024,19
W4281962665,2022,5
W4281962665,2023,26
W4281962665,2024,17
W4283069536,2023,4
W4283069536,2024,4
W4283157120,2022,4
W4283157120,2023,14
W4283157120,2024,6
W4283203948,2022,2
W4283203948,2023,24
W4283203948,2024,25
W4283213885,2022,5
W4283213885,2023,19
W4283213885,2024,22
W4283275666,2023,34
W4283275666,2024,56
W4283461979,2022,8
W4283461979,2023,81
W4283461979,2024,94
W4283578180,2022,1
W4283578180,2023,2
W4283578180,2024,5
W4283585133,2022,5
W4283585133,2023,10
W4283585133,2024,9
W4283645714,2022,1
W4283645714,2023,5
W4283645714,2024,4
W4283763275,2022,2
W4283763275,2023,14
W4283763275,2024,22
W4283764803,2022,2
W4283764803,2023,19
W4283764803,2024,26
W4283803271,2023,7
W4283803271,2024,5
W4283814693,2022,1
W4283814693,2023,7
W4283814693,2024,14
W4283817886,2023,1
W4283817886,2024,2
W4285091076,2023,10
W4285091076,2024,7
W4285676605,2022,1
W4285676605,2023,12
W4285676605,2024,10
W4285796263,2021,6
W4285796263,2022,18
W4285796263,2023,45
W4285796263,2024,64
W4285796576,2023,5
W4285796576,2024,7
W4286906772,2022,2
W4286906772,2023,15
W4286906772,2024,17
W4287307793,2022,2
W4287307793,2023,3
W4287307793,2024,6
W4287577628,2023,5
W4287577628,2024,3
W4287992808,2021,1
W4287992808,2024,4
W4288690437,2023,1
W4288690437,2024,1
W4289638136,2022,1
W4289638136,2023,2
W4289638136,2024,3
W4289860834,2023,14
W4289860834,2024,21
W4289868942,2023,5
W4289868942,2024,6
W4290992098,2022,1
W4290992098,2023,15
W4290992098,2024,27
W4291993480,2023,17
W4291993480,2024,34
W4292059111,2022,1
W4292059111,2023,15
W4292059111,2024,32
W4292197747,2022,18
W4292197747,2023,17
W4292197747,2024,27
W4292289323,2022,1
W4292289323,2023,18
W4292289323,2024,10
W4292289324,2022,4
W4292289324,2023,68
W4292289324,2024,169
W4292372012,2023,2
W4292372012,2024,11
W4293213129,2021,1
W4293213129,2022,1
W4293213129,2023,19
W4293213129,2024,14
W4293248357,2023,6
W4293248357,2024,3
W4293288724,2023,8
W4293288724,2024,2
W4293317991,2023,7
W4293317991,2024,11
W4293795081,2022,2
W4293795081,2023,23
W4293795081,2024,35
W4294566414,2022,1
W4294566414,2023,20
W4294566414,2024,14
W4294653840,2023,3
W4294653840,2024,4
W4294740730,2022,3
W4294740730,2023,16
W4294740730,2024,32
W4294817101,2023,1
