Rank,Title,Author(s),Source,Citations,Links,TLS
1,"fast r-cnn, surf: speeded up robust features, microsoft coco: common objects in context","ross girshick, herbert bay, tinne tuytelaars, luc van gool, tsung-yi lin, michael maire, serge belongie, james hays, pietro perona, deva ramanan, piotr dollár, c. lawrence zitnick","source not found, lecture notes in computer science, lecture notes in computer science",2,1,2
2,"fusion of local normalization and gabor entropy weighted features for face identification, semisupervised feature selection via spline regression for video semantic recognition, an uncertainty measure for incomplete decision tables and its applications","leonardo cament, luis e. castillo, juan p. perez, francisco j. galdames, carlos a. perez, yahong han, yi yang, yan yan, zhigang ma, nicu sebe, xiaofang zhou, jianhua dai, wentao wang, qing xu","pattern recognition, ieee transactions on neural networks and learning systems, ieee transactions on cybernetics",2,1,2
3,"""why should i trust you?"", interpretation of black-box predictive models, detecting events in online social networks: definitions, trends and challenges","marco túlio ribeiro, sameer singh, carlos guestrin, vladimir cherkassky, sauptik dhar, νικόλαος παναγιώτου, ioannis katakis, dimitrios gunopulos","source not found, springer ebooks, lecture notes in computer science",1,1,1
4,"multiscale structural similarity for image quality assessment, u-net: convolutional networks for biomedical image segmentation, imagenet: a large-scale hierarchical image database","zhou wang, eero p. simoncelli, alan c. bovik, olaf ronneberger, philipp fischer, thomas brox, jia deng, wei dong, richard socher, li-jia li, kai li, li fei-fei","source not found, lecture notes in computer science, 2009 ieee conference on computer vision and pattern recognition",1,1,1
5,"natural course of choroidal neovascular membranes within the foveal avascular zone in senile macular degeneration, a new initiative on precision medicine, quantum dots for cancer research: current status, remaining issues, and future perspectives.","susan b. bressler, neil m. bressler, stuart l. fine, argye hillis, robert p. murphy, r. joseph olk, arnall patz, francis s. collins, harold varmus, min fang, chun‐wei peng, dai‐wen pang, yan li","american journal of ophthalmology, new england journal of medicine, pubmed",1,1,1
6,"natural language processing and language learning, intelligent tutoring systems for language learning, an effective application of natural language processing in second language instruction","detmar meurers, vanja slavuj, božidar kovačić, igor jugo, noriko nagata","the encyclopedia of applied linguistics, source not found, calico journal",1,1,1
7,"nature-inspired metaheuristic algorithms, energy minimizing vehicle routing problem, a green vehicle routing problem","xin‐she yang, i̇mdat kara, bahar y. kara, m. kadri yetis, sevgi erdoğan, elise miller-hooks","source not found, lecture notes in computer science, transportation research part e logistics and transportation review",1,1,1
8,"near-bayesian support vector machines for imbalanced data classification with equal or unequal misclassification costs, safe-level-smote: safe-level-synthetic minority over-sampling technique for handling the class imbalanced problem, applying support vector machines to imbalanced datasets","shounak datta, swagatam das, chumphol bunkhumpornpat, krung sinapiromsaran, chidchanok lursinsap, rehan akbani, stephen kwek, nathalie japkowicz","neural networks, lecture notes in computer science, lecture notes in computer science",1,1,1
9,"neocognitron: a self-organizing neural network model for a mechanism of visual pattern recognition, dynamic uncertain causality graph for knowledge representation and probabilistic reasoning: directed cyclic graph and joint probability distribution, the methodology of dynamic uncertain causality graph for intelligent diagnosis of vertigo","kunihiko fukushima, sei miyake, qin zhang, chunling dong, yanjun wang, qin zhang, sheng wang","lecture notes in biomathematics, ieee transactions on neural networks and learning systems, computer methods and programs in biomedicine",1,1,1
10,"neuro fuzzy systems: state-of-the-art modeling techniques, fuzzy deep belief networks for semi-supervised sentiment classification, fuzzy logic and its applications in medicine","ajith abraham, shusen zhou, qingcai chen, xiaolong wang, nguyễn hoàng phương, vladik y kreinovich","lecture notes in computer science, neurocomputing, international journal of medical informatics",1,1,1
